Symbol|Security Name|Listing Exchange|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AACB|Artius II Acquisition Inc. - Class A Ordinary Shares|Q|G|N|N|100|N|N
AACBR|Artius II Acquisition Inc. - Rights|Q|G|N|N|100|N|N
AACBU|Artius II Acquisition Inc. - Units|Q|G|N|N|100|N|N
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|Q|S|N|N|100|N|N
AACI|Armada Acquisition Corp. II - Class A Ordinary Shares|Q|G|N|N|100|N|N
AACIU|Armada Acquisition Corp. II - Units|Q|G|N|N|100|N|N
AACIW|Armada Acquisition Corp. II - Warrant|Q|G|N|N|100|N|N
AADR|AdvisorShares Dorsey Wright ADR ETF|Q|G|N|N|100|N|Y
AAL|American Airlines Group, Inc. - Common Stock|Q|Q|N|N|100|N|N
AALG|Leverage Shares 2X Long AAL Daily ETF|Q|G|N|N|100|N|Y
AAME|Atlantic American Corporation - Common Stock|Q|G|N|N|100|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|Q|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|Q|N|N|100|N|N
AAPB|GraniteShares 2x Long AAPL Daily ETF|Q|G|N|N|100|N|Y
AAPD|Direxion Daily AAPL Bear 1X Shares|Q|G|N|N|100|N|Y
AAPG|Ascentage Pharma Group International - American Depository Shares|Q|G|N|N|100|N|N
AAPL|Apple Inc. - Common Stock|Q|Q|N|N|100|N|N
AAPU|Direxion Daily AAPL Bull 2X Shares|Q|G|N|N|100|N|Y
AARD|Aardvark Therapeutics, Inc. - Common Stock|Q|Q|N|N|100|N|N
AAUS|Alpha Architect US Equity ETF|Q|G|N|N|100|N|Y
AAVM|Alpha Architect Global Factor Equity ETF|Q|G|N|N|100|N|Y
AAXJ|iShares MSCI All Country Asia ex Japan ETF|Q|G|N|N|100|N|Y
ABAT|American Battery Technology Company - Common Stock|Q|S|N|N|100|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|Q|N|N|100|N|N
ABCS|Alpha Blue Capital US Small-Mid Cap Dynamic ETF|Q|G|N|N|100|N|Y
ABEO|Abeona Therapeutics Inc. - Common Stock|Q|S|N|N|100|N|N
ABI|VictoryShares Pioneer Asset-Based Income ETF|Q|G|N|N|100|N|Y
ABIG|Argent Large Cap ETF|Q|G|N|N|100|N|Y
ABL|Abacus Global Management, Inc. - Class A Common Stock|Q|S|N|N|100|N|N
ABLLL|Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028|Q|G|N|N|100|N|N
ABLV|Able View Global Inc. - Class B Ordinary Shares|Q|S|N|N|100|N|N
ABLVW|Able View Global Inc. - Warrant|Q|S|N|N|100|N|N
ABNB|Airbnb, Inc. - Class A Common Stock|Q|Q|N|N|100|N|N
ABOS|Acumen Pharmaceuticals, Inc. - Common Stock|Q|Q|N|N|100|N|N
ABP|Abpro Holdings, Inc - Common Stock|Q|G|N|D|100|N|N
ABPWW|Abpro Holdings, Inc - Warrant|Q|S|N|N|100|N|N
ABSI|Absci Corporation - Common Stock|Q|Q|N|N|100|N|N
ABTC|American Bitcoin Corp. - Class A Common Stock|Q|S|N|N|100|N|N
ABTS|Abits Group Inc - Ordinary Shares|Q|S|N|N|100|N|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|Q|N|N|100|N|N
ABVC|ABVC BioPharma, Inc. - Common Stock|Q|S|N|N|100|N|N
ABVE|Above Food Ingredients Inc. - Common Stock|Q|G|N|E|100|N|N
ABVEW|Above Food Ingredients Inc. - Warrant|Q|G|N|E|100|N|N
ABVX|Abivax SA - American Depositary Shares|Q|G|N|N|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|Q|N|N|100|N|N
ACB|Aurora Cannabis Inc. - Common Shares|Q|S|N|N|100|N|N
ACDC|ProFrac Holding Corp. - Class A Common Stock|Q|Q|N|N|100|N|N
ACET|Adicet Bio, Inc. - Common Stock|Q|G|N|D|100|N|N
ACFN|Acorn Energy, Inc. - Common Stock|Q|S|N|N|100|N|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|Q|N|N|100|N|N
ACGLN|Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G|Q|Q|N|N|100|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|Q|N|N|100|N|N
ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|Q|N|N|100|N|N
ACHV|Achieve Life Sciences, Inc.  - Common Shares|Q|S|N|N|100|N|N
ACIC|American Coastal Insurance Corporation - Common Stock|Q|S|N|N|100|N|N
ACIU|AC Immune SA - Common Stock|Q|G|N|N|100|N|N
ACIW|ACI Worldwide, Inc. - Common Stock|Q|Q|N|N|100|N|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|Q|N|N|100|N|N
ACLX|Arcellx, Inc. - Common Stock|Q|Q|N|N|100|N|N
ACMR|ACM Research, Inc. - Class A Common Stock|Q|G|N|N|100|N|N
ACNB|ACNB Corporation - Common Stock|Q|S|N|N|100|N|N
ACNT|Ascent Industries Co. - Common Stock|Q|G|N|N|100|N|N
ACOG|Alpha Cognition Inc. - Common Stock|Q|S|N|N|100|N|N
ACON|Aclarion, Inc. - Common Stock|Q|S|N|N|100|N|N
ACONW|Aclarion, Inc. - Warrant|Q|S|N|N|100|N|N
ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|Q|N|N|100|N|N
ACRV|Acrivon Therapeutics, Inc. - Common Stock|Q|G|N|N|100|N|N
ACT|Enact Holdings, Inc. - Common Stock|Q|Q|N|N|100|N|N
ACTG|Acacia Research Corporation - Common Stock|Q|Q|N|N|100|N|N
ACTU|Actuate Therapeutics, Inc. - Common stock|Q|G|N|N|100|N|N
ACWI|iShares MSCI ACWI ETF|Q|G|N|N|100|N|Y
ACWX|iShares MSCI ACWI ex U.S. ETF|Q|G|N|N|100|N|Y
ACXP|Acurx Pharmaceuticals, Inc. - Common Stock|Q|S|N|N|100|N|N
ADAG|Adagene Inc. - ADS, each representing 1.25 ordinary shares|Q|G|N|N|100|N|N
ADAM|Adamas Trust, Inc. - Common Stock|Q|Q|N|N|100|N|N
ADAMG|Adamas Trust, Inc. - 9.125% Senior Notes Due 2030|Q|Q|N|N|100|N|N
ADAMH|Adamas Trust, Inc. - 9.875% Senior Notes Due 2030|Q|G|N|N|100|N|N
ADAMI|Adamas Trust, Inc. - 9.125% Senior Notes Due 2029|Q|Q|N|N|100|N|N
ADAML|Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share|Q|Q|N|N|100|N|N
ADAMM|Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock|Q|Q|N|N|100|N|N
ADAMN|Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock|Q|Q|N|N|100|N|N
ADAMZ|Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share|Q|Q|N|N|100|N|N
ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|S|N|D|100|N|N
ADBE|Adobe Inc. - Common Stock|Q|Q|N|N|100|N|N
ADBG|Leverage Shares 2X Long ADBE Daily ETF|Q|G|N|N|100|N|Y
ADEA|Adeia Inc.  - Common Stock|Q|Q|N|N|100|N|N
ADGM|Adagio Medical Holdings, Inc - Common Stock|Q|S|N|D|100|N|N
ADI|Analog Devices, Inc. - Common Stock|Q|Q|N|N|100|N|N
ADIL|Adial Pharmaceuticals, Inc - Common Stock|Q|S|N|D|100|N|N
ADMA|ADMA Biologics Inc - Common Stock|Q|G|N|N|100|N|N
ADN|Advent Technologies Holdings, Inc. - Class A Common Stock|Q|S|N|D|100|N|N
ADNWW|Advent Technologies Holdings, Inc. - Warrant|Q|S|N|D|100|N|N
ADP|Automatic Data Processing, Inc. - Common Stock|Q|Q|N|N|100|N|N
ADPT|Adaptive Biotechnologies Corporation - Common Stock|Q|Q|N|N|100|N|N
ADSE|ADS-TEC ENERGY PLC - Ordinary Shares|Q|S|N|N|100|N|N
ADSEW|ADS-TEC ENERGY PLC - Warrant|Q|S|N|N|100|N|N
ADSK|Autodesk, Inc. - Common Stock|Q|Q|N|N|100|N|N
ADTN|ADTRAN Holdings, Inc. - Common Stock|Q|Q|N|N|100|N|N
ADTX|Aditxt, Inc. - Common Stock|Q|S|N|N|100|N|N
ADUR|Aduro Clean Technologies Inc. - Common Stock|Q|S|N|N|100|N|N
ADUS|Addus HomeCare Corporation - Common Stock|Q|Q|N|N|100|N|N
ADV|Advantage Solutions Inc.  - Class A Common Stock|Q|Q|N|N|100|N|N
ADVB|Advanced Biomed Inc. - Common Stock|Q|S|N|D|100|N|N
ADVM|Adverum Biotechnologies, Inc. - Common Stock|Q|S|N|N|100|N|N
ADVWW|Advantage Solutions Inc.  - Warrant|Q|Q|N|N|100|N|N
ADXN|Addex Therapeutics Ltd - American Depositary Shares|Q|S|N|N|100|N|N
AEBI|Aebi Schmidt Holding AG - Common Stock|Q|Q|N|N|100|N|N
